SECTION Coordinates
0 0
-21 -3
-2 -34
-26 40
-45 -40
-33 -19
14 -24
1 32
-47 8
12 8
-1 13
23 -26
1 -39
12 -21
47 -48
39 -16
16 2
10 -2
42 -36
34 -17
-38 -42
-1 29
-2 -37
34 -43
-7 -20
38 -39
13 33
16 -24
24 -32
27 -42
19 -46
12 39
-26 -32
24 8
43 24
6 -14
21 -5
4 -33
-30 47
26 -38
18 38
-10 39
-5 32
13 14
29 -25
-11 -31
-5 17
-14 15
34 -41
14 39
19 -22

SECTION Coordinates
0 0
-21 -3
-2 -34
-26 40
-45 -40
-33 -19
14 -24
1 32
-47 8
12 8
-1 13
23 -26
1 -39
12 -21
47 -48
39 -16
16 2
10 -2
42 -36
34 -17
-38 -42
-1 29
-2 -37
34 -43
-7 -20
38 -39
13 33
16 -24
24 -32
27 -42
19 -46
12 39
-26 -32
24 8
43 24
6 -14
21 -5
4 -33
-30 47
26 -38
18 38
-10 39
-5 32
13 14
29 -25
-11 -31
-5 17
-14 15
34 -41
14 39
19 -22

