SECTION Coordinates
0 0
-20 25
19 -34
-3 27
10 30
24 -42
27 -49
10 -17
20 -21
-26 41
10 19
20 10
0 31
-31 -21
31 -31
16 -1
44 -49
35 49
-42 -30
47 25
-45 -12
49 -47
-16 10
26 42
-1 41
50 4
0 43
23 6
-33 -4
-38 -46
-33 13
-23 -17
36 5
49 30
-12 3
14 -1
23 -6
18 24
2 24
-21 -7
37 -47
-15 27
35 39
-30 39
-9 19
23 22
-37 41
33 -23
31 23
-16 -14
-35 -42

SECTION Coordinates
0 0
-20 25
19 -34
-3 27
10 30
24 -42
27 -49
10 -17
20 -21
-26 41
10 19
20 10
0 31
-31 -21
31 -31
16 -1
44 -49
35 49
-42 -30
47 25
-45 -12
49 -47
-16 10
26 42
-1 41
50 4
0 43
23 6
-33 -4
-38 -46
-33 13
-23 -17
36 5
49 30
-12 3
14 -1
23 -6
18 24
2 24
-21 -7
37 -47
-15 27
35 39
-30 39
-9 19
23 22
-37 41
33 -23
31 23
-16 -14
-35 -42

