SECTION Coordinates
0 0
-33 22
47 -42
-18 -35
13 47
7 10
33 -2
50 -24
-38 12
-47 -1
5 27
47 48
-50 39
7 -16
42 -21
25 -37
-10 -47
-48 -47
33 19
-49 -2
37 -23
4 42
-47 17
-22 47
6 13
20 -21
-6 -21
36 -22
47 8
-13 -48
3 21
32 -38
-27 30
42 -13
-35 45
-8 42
41 14
4 14
35 -26
-12 -14
25 13
14 0
25 -46
11 -19
45 1
3 35
-28 -4
20 39
49 36
44 -3
-39 6

SECTION Coordinates
0 0
-33 22
47 -42
-18 -35
13 47
7 10
33 -2
50 -24
-38 12
-47 -1
5 27
47 48
-50 39
7 -16
42 -21
25 -37
-10 -47
-48 -47
33 19
-49 -2
37 -23
4 42
-47 17
-22 47
6 13
20 -21
-6 -21
36 -22
47 8
-13 -48
3 21
32 -38
-27 30
42 -13
-35 45
-8 42
41 14
4 14
35 -26
-12 -14
25 13
14 0
25 -46
11 -19
45 1
3 35
-28 -4
20 39
49 36
44 -3
-39 6

