SECTION Coordinates
0 0
-20 -12
-37 42
0 11
-31 -39
-42 -48
1 20
-13 47
-43 -22
16 18
-4 -15
49 -28
-37 -17
-23 -47
32 -17
-16 -26
-29 -11
-13 30
43 -3
-39 27
-7 35
-1 14
-19 -28
-19 10
-15 -39
20 -12
-50 -13
23 40
-11 47
15 -26
2 4
26 -14
5 7
-30 -21
-11 -17
-45 -40
-45 9
30 -15
16 18
32 10
39 -7
-32 36
-25 -42
2 -25
31 30
6 -15
-27 -5
5 45
25 -9
31 21
-25 -9

SECTION Coordinates
0 0
-20 -12
-37 42
0 11
-31 -39
-42 -48
1 20
-13 47
-43 -22
16 18
-4 -15
49 -28
-37 -17
-23 -47
32 -17
-16 -26
-29 -11
-13 30
43 -3
-39 27
-7 35
-1 14
-19 -28
-19 10
-15 -39
20 -12
-50 -13
23 40
-11 47
15 -26
2 4
26 -14
5 7
-30 -21
-11 -17
-45 -40
-45 9
30 -15
16 18
32 10
39 -7
-32 36
-25 -42
2 -25
31 30
6 -15
-27 -5
5 45
25 -9
31 21
-25 -9

