SECTION Coordinates
0 0
29 -18
44 -5
38 44
33 17
-47 9
49 -19
33 -44
-30 -36
-3 10
-19 -2
19 -37
23 -19
-49 43
-23 2
-15 -27
48 -1
-30 47
-41 -33
29 29
6 -34
-34 -50
-50 -24
49 -23
-29 -29
-13 -10
-25 19
36 30
-24 -27
38 -25
-1 -12
-48 -4
3 -29
-32 -17
-42 -8
-12 27
25 -50
26 36
40 -7
-42 -11
-5 -11
11 39
-10 -27
11 10
40 -28
-43 -18
-48 45
-5 1
-48 20
50 3
-4 -2

SECTION Coordinates
0 0
29 -18
44 -5
38 44
33 17
-47 9
49 -19
33 -44
-30 -36
-3 10
-19 -2
19 -37
23 -19
-49 43
-23 2
-15 -27
48 -1
-30 47
-41 -33
29 29
6 -34
-34 -50
-50 -24
49 -23
-29 -29
-13 -10
-25 19
36 30
-24 -27
38 -25
-1 -12
-48 -4
3 -29
-32 -17
-42 -8
-12 27
25 -50
26 36
40 -7
-42 -11
-5 -11
11 39
-10 -27
11 10
40 -28
-43 -18
-48 45
-5 1
-48 20
50 3
-4 -2

