SECTION Coordinates
0 0
23 -40
12 47
-17 -46
-50 -32
34 25
10 47
44 -3
-10 48
-48 -16
12 -25
43 2
18 19
37 -38
-26 22
20 39
43 -17
34 28
37 -39
4 -8
-39 -4
2 -18
6 39
-38 46
-25 39
31 -13
-38 -45
25 -25
33 -4
12 -26
15 23
32 39
14 -47
31 -4
-19 27
5 -12
-5 25
-35 -39
14 36
17 -25
-36 27
34 -16
-11 42
-25 -2
11 -22
-33 26
-24 39
16 -49
-26 49
-29 -48
32 -8

SECTION Coordinates
0 0
23 -40
12 47
-17 -46
-50 -32
34 25
10 47
44 -3
-10 48
-48 -16
12 -25
43 2
18 19
37 -38
-26 22
20 39
43 -17
34 28
37 -39
4 -8
-39 -4
2 -18
6 39
-38 46
-25 39
31 -13
-38 -45
25 -25
33 -4
12 -26
15 23
32 39
14 -47
31 -4
-19 27
5 -12
-5 25
-35 -39
14 36
17 -25
-36 27
34 -16
-11 42
-25 -2
11 -22
-33 26
-24 39
16 -49
-26 49
-29 -48
32 -8

