SECTION Coordinates
0 0
-43 -39
-40 -4
-29 44
35 -11
-18 27
-23 27
-46 24
37 -30
5 31
0 42
15 -3
19 6
14 -16
-46 -47
-4 9
-10 -2
4 17
-29 21
-28 -20
-21 -47
-28 -9
-28 -33
15 15
-4 15
36 21
-27 7
3 44
17 47
-4 25
-5 -4
7 -30
46 1
41 44
9 33
17 -19
12 -15
13 14
15 -5
34 8
9 -6
22 42
21 42
8 12
34 -22
-9 39
-29 28
-16 48
11 -11
-12 40
14 21

SECTION Coordinates
0 0
-43 -39
-40 -4
-29 44
35 -11
-18 27
-23 27
-46 24
37 -30
5 31
0 42
15 -3
19 6
14 -16
-46 -47
-4 9
-10 -2
4 17
-29 21
-28 -20
-21 -47
-28 -9
-28 -33
15 15
-4 15
36 21
-27 7
3 44
17 47
-4 25
-5 -4
7 -30
46 1
41 44
9 33
17 -19
12 -15
13 14
15 -5
34 8
9 -6
22 42
21 42
8 12
34 -22
-9 39
-29 28
-16 48
11 -11
-12 40
14 21

