SECTION Coordinates
0 0
-1 47
3 -45
-17 15
12 1
50 -12
11 -5
24 -23
14 -33
-14 -33
46 -38
29 -18
18 40
27 -32
-11 -38
43 -41
37 -8
10 21
-38 -5
5 -10
28 31
-24 20
11 6
16 -17
-43 20
-49 -39
42 1
40 50
35 30
-50 28
13 -8
-19 43
-9 40
-42 -26
22 -22
-20 -32
19 7
-39 -40
-10 15
12 -37
-12 20
-13 40
-35 20
-8 19
-24 27
20 25
-14 6
-39 26
-1 -10
23 -20
-13 -27

SECTION Coordinates
0 0
-1 47
3 -45
-17 15
12 1
50 -12
11 -5
24 -23
14 -33
-14 -33
46 -38
29 -18
18 40
27 -32
-11 -38
43 -41
37 -8
10 21
-38 -5
5 -10
28 31
-24 20
11 6
16 -17
-43 20
-49 -39
42 1
40 50
35 30
-50 28
13 -8
-19 43
-9 40
-42 -26
22 -22
-20 -32
19 7
-39 -40
-10 15
12 -37
-12 20
-13 40
-35 20
-8 19
-24 27
20 25
-14 6
-39 26
-1 -10
23 -20
-13 -27

