SECTION Coordinates
0 0
-9 -31
0 33
-44 -41
18 -38
-4 24
-43 14
-23 -46
-39 5
3 -42
-20 -39
20 4
-43 22
-35 -22
30 30
24 -43
23 24
0 -44
-22 -45
21 -33
-13 3
-32 19
-35 23
-11 21
37 -27
-37 24
23 31
-26 -3
-38 20
41 -42
22 -43
29 -24
13 37
18 4
49 -10
9 24
8 -4
-12 -19
-27 39
49 -19
-40 23
-12 17
13 -7
43 7
-14 27
-41 -35
15 3
-29 46
-7 -31
12 3
-45 35

SECTION Coordinates
0 0
-9 -31
0 33
-44 -41
18 -38
-4 24
-43 14
-23 -46
-39 5
3 -42
-20 -39
20 4
-43 22
-35 -22
30 30
24 -43
23 24
0 -44
-22 -45
21 -33
-13 3
-32 19
-35 23
-11 21
37 -27
-37 24
23 31
-26 -3
-38 20
41 -42
22 -43
29 -24
13 37
18 4
49 -10
9 24
8 -4
-12 -19
-27 39
49 -19
-40 23
-12 17
13 -7
43 7
-14 27
-41 -35
15 3
-29 46
-7 -31
12 3
-45 35

